Year Folder,Year,File Name,Original Path,Destination Path,File Size (KB)
2009-20251203T173017Z-1-001,2009,1001601_10K_2009_0001104659-10-017090.json,C:\Users\aj_go\OneDrive - purdue.edu\10k extraction\MDA\2009-20251203T173017Z-1-001\2009\1001601_10K_2009_0001104659-10-017090.json,C:\Users\aj_go\OneDrive - purdue.edu\10k extraction\MDA_Sampling\random_samples_2025-12-16_10-09-22\2009-20251203T173017Z-1-001\2009\1001601_10K_2009_0001104659-10-017090.json,40.35
2009-20251203T173017Z-1-001,2009,1273931_10K_2009_0000950123-10-024699.json,C:\Users\aj_go\OneDrive - purdue.edu\10k extraction\MDA\2009-20251203T173017Z-1-001\2009\1273931_10K_2009_0000950123-10-024699.json,C:\Users\aj_go\OneDrive - purdue.edu\10k extraction\MDA_Sampling\random_samples_2025-12-16_10-09-22\2009-20251203T173017Z-1-001\2009\1273931_10K_2009_0000950123-10-024699.json,147.74
2009-20251203T173017Z-1-001,2009,354707_10K_2009_0001193125-10-042821.json,C:\Users\aj_go\OneDrive - purdue.edu\10k extraction\MDA\2009-20251203T173017Z-1-001\2009\354707_10K_2009_0001193125-10-042821.json,C:\Users\aj_go\OneDrive - purdue.edu\10k extraction\MDA_Sampling\random_samples_2025-12-16_10-09-22\2009-20251203T173017Z-1-001\2009\354707_10K_2009_0001193125-10-042821.json,1.07
2009-20251203T173017Z-1-001,2009,895456_10K_2009_0001144204-10-010990.json,C:\Users\aj_go\OneDrive - purdue.edu\10k extraction\MDA\2009-20251203T173017Z-1-001\2009\895456_10K_2009_0001144204-10-010990.json,C:\Users\aj_go\OneDrive - purdue.edu\10k extraction\MDA_Sampling\random_samples_2025-12-16_10-09-22\2009-20251203T173017Z-1-001\2009\895456_10K_2009_0001144204-10-010990.json,43.26
2010-20251203T180659Z-1-001,2010,1024126_10K_2010_0001354488-11-001006.json,C:\Users\aj_go\OneDrive - purdue.edu\10k extraction\MDA\2010-20251203T180659Z-1-001\2010\1024126_10K_2010_0001354488-11-001006.json,C:\Users\aj_go\OneDrive - purdue.edu\10k extraction\MDA_Sampling\random_samples_2025-12-16_10-09-22\2010-20251203T180659Z-1-001\2010\1024126_10K_2010_0001354488-11-001006.json,61.05
2010-20251203T180659Z-1-001,2010,1208208_10K_2010_0000950123-11-019769.json,C:\Users\aj_go\OneDrive - purdue.edu\10k extraction\MDA\2010-20251203T180659Z-1-001\2010\1208208_10K_2010_0000950123-11-019769.json,C:\Users\aj_go\OneDrive - purdue.edu\10k extraction\MDA_Sampling\random_samples_2025-12-16_10-09-22\2010-20251203T180659Z-1-001\2010\1208208_10K_2010_0000950123-11-019769.json,62.82
2010-20251203T180659Z-1-001,2010,1018840_10K_2010_0000950123-10-029409.json,C:\Users\aj_go\OneDrive - purdue.edu\10k extraction\MDA\2010-20251203T180659Z-1-001\2010\1018840_10K_2010_0000950123-10-029409.json,C:\Users\aj_go\OneDrive - purdue.edu\10k extraction\MDA_Sampling\random_samples_2025-12-16_10-09-22\2010-20251203T180659Z-1-001\2010\1018840_10K_2010_0000950123-10-029409.json,49.49
2010-20251203T180659Z-1-001,2010,803014_10K_2010_0001193125-11-013528.json,C:\Users\aj_go\OneDrive - purdue.edu\10k extraction\MDA\2010-20251203T180659Z-1-001\2010\803014_10K_2010_0001193125-11-013528.json,C:\Users\aj_go\OneDrive - purdue.edu\10k extraction\MDA_Sampling\random_samples_2025-12-16_10-09-22\2010-20251203T180659Z-1-001\2010\803014_10K_2010_0001193125-11-013528.json,245.87
2010-20251203T180659Z-1-001,2010,878079_10K_2010_0000950123-10-035503.json,C:\Users\aj_go\OneDrive - purdue.edu\10k extraction\MDA\2010-20251203T180659Z-1-001\2010\878079_10K_2010_0000950123-10-035503.json,C:\Users\aj_go\OneDrive - purdue.edu\10k extraction\MDA_Sampling\random_samples_2025-12-16_10-09-22\2010-20251203T180659Z-1-001\2010\878079_10K_2010_0000950123-10-035503.json,55.7
2015-20251203T200803Z-1-001,2015,883902_10K_2015_0000883902-15-000009.json,C:\Users\aj_go\OneDrive - purdue.edu\10k extraction\MDA\2015-20251203T200803Z-1-001\2015\883902_10K_2015_0000883902-15-000009.json,C:\Users\aj_go\OneDrive - purdue.edu\10k extraction\MDA_Sampling\random_samples_2025-12-16_10-09-22\2015-20251203T200803Z-1-001\2015\883902_10K_2015_0000883902-15-000009.json,149.09
